stem,s,base,diff,level
7,0,0,[NULL],9000
9,1,0,[NULL],9000
10,2,0,[NULL],9000
11,1,0,[NULL],9000
11,2,0,[NULL],9000
12,1,0,[NULL],9000
11,3,0,[NULL],9000
14,1,0,[NULL],9000
15,0,0,[NULL],9000
14,2,0,[NULL],9000
15,1,0,[NULL],9000
15,2,1,[NULL],9000
15,2,0,[NULL],9000
16,1,0,[NULL],9000
15,3,0,[NULL],9000
16,2,0,[NULL],9000
15,4,0,[NULL],9000
16,3,0,[NULL],9000
17,2,0,[NULL],9000
18,1,0,[NULL],9000
17,3,0,[NULL],9000
18,2,0,[NULL],9000
17,4,0,[NULL],9000
18,3,0,[NULL],9000
17,5,0,[NULL],9000
21,2,0,[NULL],9000
22,1,0,[NULL],9000
18,6,0,[NULL],9000
19,5,0,[NULL],9000
19,6,0,[NULL],9000
19,7,0,[NULL],9000
22,4,0,[NULL],9000
23,3,0,0,9998
24,2,0,[NULL],9000
22,5,0,0,2
23,4,0,0,9998
24,3,0,[NULL],9000
25,2,0,[NULL],9000
22,6,0,0,2
23,5,1,[NULL],9000
23,5,0,[NULL],9000
25,3,0,[NULL],9000
26,2,1,[NULL],9000
26,2,0,[NULL],9000
23,6,0,[NULL],9000
25,4,0,0,9998
26,3,1,[NULL],9000
26,3,0,[NULL],9000
27,2,0,[NULL],9000
23,7,0,[NULL],9000
24,6,0,0,2
25,5,0,[NULL],9000
26,4,1,[NULL],9000
26,4,0,0,9998
27,3,0,[NULL],9000
23,8,0,[NULL],9000
24,7,0,[NULL],9000
25,6,0,0,2
26,5,0,0,9998
27,4,0,[NULL],9000
28,3,0,[NULL],9000
30,1,0,[NULL],9000
31,0,0,0,9998
25,7,0,0,2
28,4,0,[NULL],9000
29,3,0,[NULL],9000
30,2,0,0,2
31,1,0,1,9998
25,8,0,[NULL],9000
28,5,0,[NULL],9000
29,4,0,[NULL],9000
30,3,1,0,2
30,3,0,[NULL],9000
31,2,1,[NULL],9000
31,2,0,1,9998
32,1,0,[NULL],9000
25,9,0,[NULL],9000
28,6,0,[NULL],9000
29,5,0,[NULL],9000
30,4,1,0,2
30,4,2,[NULL],9000
30,4,0,[NULL],9000
31,3,0,[NULL],9000
31,3,1,0,9997
30,5,1,[NULL],9000
30,5,0,[NULL],9000
31,4,2,[NULL],9000
31,4,1,[NULL],9000
31,4,0,0,9997
32,3,0,[NULL],9000
33,2,0,[NULL],9000
34,1,0,0,9997
26,10,0,[NULL],9000
27,9,0,[NULL],9000
30,6,0,1,3
31,5,1,[NULL],9000
31,5,0,0,9996
32,4,0,[NULL],9000
33,3,0,[NULL],9000
34,2,0,[NULL],9000
27,10,0,[NULL],9000
30,7,0,0,3
31,6,1,[NULL],9000
31,6,0,0,9996
32,5,1,[NULL],9000
32,5,0,[NULL],9000
33,4,0,0,3
34,3,0,[NULL],9000
27,11,0,[NULL],9000
30,8,0,[NULL],9000
31,7,0,[NULL],9000
30,9,0,0,4
31,8,0,[NULL],9000
37,2,1,[NULL],9000
37,2,0,[NULL],9000
38,1,1,[NULL],9000
38,1,0,0,9996
30,10,0,0,4
31,9,1,[NULL],9000
31,9,0,[NULL],9000
34,6,0,[NULL],9000
37,3,0,[NULL],9000
38,2,0,[NULL],9000
31,10,0,[NULL],9000
33,8,0,0,9998
34,7,0,0,9998
37,4,0,[NULL],9000
38,3,1,[NULL],9000
38,3,0,[NULL],9000
39,2,0,[NULL],9000
31,11,0,[NULL],9000
32,10,0,0,2
33,9,0,0,2
34,8,0,0,9998
37,5,0,0,4
38,4,1,[NULL],9000
38,4,0,0,9998
39,3,1,[NULL],9000
39,3,0,[NULL],9000
40,2,0,[NULL],9000
31,12,0,[NULL],9000
32,11,0,[NULL],9000
33,10,0,0,2
34,9,0,0,9998
37,6,0,0,2
38,5,0,0,9996
39,4,0,[NULL],9000
40,3,"0,1",[NULL],9000
40,3,1,[NULL],9000
41,2,0,2,9998
33,11,0,0,2
36,8,0,[NULL],9000
