stem,s,base,diff,level
57,0,0,[NULL],9000
58,1,0,[NULL],9000
59,0,0,[NULL],9000
59,1,0,[NULL],9000
59,2,0,[NULL],9000
60,1,0,[NULL],9000
62,1,0,[NULL],9000
63,0,0,[NULL],9000
63,1,0,[NULL],9000
63,2,1,[NULL],9000
63,2,0,[NULL],9000
64,1,1,[NULL],9000
64,1,0,[NULL],9000
63,3,0,[NULL],9000
64,2,0,[NULL],9000
65,2,0,[NULL],9000
65,2,1,[NULL],9000
66,1,0,[NULL],9000
65,3,0,[NULL],9000
66,2,0,[NULL],9000
65,4,0,[NULL],9000
66,3,0,[NULL],9000
66,5,0,[NULL],9000
67,4,0,[NULL],9000
67,5,0,[NULL],9000
67,6,0,[NULL],9000
70,3,0,[NULL],9000
71,2,0,0,9998
72,1,0,[NULL],9000
70,4,0,0,2
71,3,0,0,9998
70,5,0,0,2
71,4,1,[NULL],9000
71,4,0,[NULL],9000
72,3,0,[NULL],9000
73,2,1,[NULL],9000
73,2,0,[NULL],9000
74,1,0,[NULL],9000
71,5,0,[NULL],9000
73,3,0,0,9998
74,2,1,[NULL],9000
74,2,0,[NULL],9000
71,6,0,[NULL],9000
72,5,0,0,2
73,4,0,[NULL],9000
74,3,2,[NULL],9000
74,3,0,[NULL],9000
74,3,1,0,9998
75,2,1,[NULL],9000
75,2,0,[NULL],9000
71,7,0,[NULL],9000
72,6,0,[NULL],9000
73,5,0,1,2
74,4,0,0,9998
73,6,0,0,2
75,4,0,[NULL],9000
76,3,1,[NULL],9000
76,3,0,[NULL],9994
77,2,0,[NULL],9000
73,7,0,[NULL],9000
76,4,0,[NULL],9994
77,3,0,[NULL],9000
78,2,0,[NULL],9000
73,8,0,[NULL],9000
76,5,0,[NULL],9000
77,4,1,[NULL],9000
77,4,0,[NULL],9000
78,3,1,[NULL],9000
78,3,0,[NULL],9000
78,4,0,[NULL],9000
79,3,1,[NULL],9000
79,3,0,[NULL],9000
74,9,0,[NULL],9000
75,8,0,[NULL],9000
78,5,1,[NULL],9000
78,5,0,[NULL],9000
79,4,2,[NULL],9000
79,4,1,[NULL],9000
79,4,0,0,9998
80,3,0,[NULL],9000
81,2,0,[NULL],9000
82,1,0,0,9998
75,9,0,[NULL],9000
78,6,0,0,2
79,5,1,[NULL],9000
79,5,0,0,9997
80,4,0,[NULL],9000
80,4,1,[NULL],9000
81,3,0,0,2
82,2,0,0,9998
75,10,0,[NULL],9000
78,7,0,[NULL],9000
79,6,0,0,9997
80,5,0,[NULL],9000
81,4,0,0,2
82,3,0,[NULL],9000
78,8,0,0,3
79,7,0,[NULL],9000
78,9,0,0,3
79,8,1,[NULL],9000
79,8,0,[NULL],9000
82,5,0,[NULL],9000
85,2,0,[NULL],9000
86,1,0,0,9997
79,9,0,[NULL],9000
81,7,0,0,9998
82,6,0,0,9998
85,3,0,[NULL],9000
86,2,0,0,9997
79,10,0,[NULL],9000
80,9,0,0,2
81,8,0,0,2
82,7,0,0,9998
85,4,0,0,3
86,3,0,[NULL],9000
86,3,1,[NULL],9000
87,2,1,[NULL],9000
87,2,0,[NULL],9000
88,1,0,[NULL],9000
79,11,0,[NULL],9000
80,10,0,[NULL],9000
81,9,0,0,2
82,8,0,0,9998
85,5,0,0,3
86,4,1,[NULL],9000
86,4,0,[NULL],9996
87,3,0,[NULL],9000
81,10,0,0,2
84,7,0,[NULL],9000
85,6,0,0,9998
87,4,0,[NULL],9000
88,3,1,[NULL],9000
88,3,0,[NULL],9000
89,2,1,[NULL],9000
89,2,0,[NULL],9000
90,1,0,0,9998
81,11,0,[NULL],9000
84,8,0,0,2
85,7,0,0,9998
88,4,0,[NULL],9000
89,3,0,0,2
90,2,0,[NULL],9000
81,12,0,[NULL],9000
84,9,0,0,2
85,8,0,[NULL],9000
87,6,0,[NULL],9000
88,5,2,[NULL],9000
88,5,0,[NULL],9000
88,5,1,[NULL],9000
89,4,0,[NULL],9000
90,3,0,[NULL],9000
91,2,0,[NULL],9000
87,7,0,0,9996
88,6,0,0,9998
89,5,0,[NULL],9000
90,4,0,[NULL],9000
82,13,0,[NULL],9000
83,12,0,[NULL],9000
87,8,0,0,2
88,7,0,0,9998
89,6,"0,1",[NULL],9000
89,6,1,[NULL],9000
90,5,1,[NULL],9000
90,5,0,[NULL],9000
91,4,0,[NULL],9000
92,3,0,[NULL],9000
93,2,0,[NULL],9000
83,13,0,[NULL],9000
