stem,s,base,diff,level
67,0,0,[NULL],9000
69,1,0,[NULL],9000
70,1,0,[NULL],9000
71,0,0,[NULL],9000
70,2,0,[NULL],9000
71,1,0,[NULL],9000
71,2,0,[NULL],9000
72,1,0,[NULL],9000
71,3,0,[NULL],9000
73,2,0,[NULL],9000
74,1,0,[NULL],9000
75,2,0,[NULL],9000
75,3,0,[NULL],9000
76,2,0,[NULL],9000
75,4,0,[NULL],9000
76,3,0,[NULL],9000
78,1,0,[NULL],9000
79,0,0,0,9998
78,2,0,0,2
79,1,0,0,9997
77,4,0,[NULL],9000
78,3,0,[NULL],9000
79,2,0,0,9997
80,1,0,[NULL],9000
77,5,0,[NULL],9000
78,4,0,0,3
79,3,0,[NULL],9000
78,5,0,0,3
79,4,0,[NULL],9000
81,2,1,[NULL],9000
81,2,0,[NULL],9000
82,1,1,[NULL],9000
82,1,0,[NULL],9000
78,6,0,[NULL],9000
79,5,0,[NULL],9000
81,3,0,[NULL],9000
82,2,0,[NULL],9000
79,6,0,[NULL],9000
81,4,0,[NULL],9000
82,3,"0,1",[NULL],9000
82,3,1,[NULL],9000
83,2,0,[NULL],9000
79,7,0,[NULL],9000
84,2,0,[NULL],9000
84,3,0,[NULL],9000
85,2,1,[NULL],9000
85,2,0,[NULL],9000
86,1,0,[NULL],9000
83,5,0,[NULL],9000
84,4,0,[NULL],9000
85,3,0,[NULL],9000
86,2,0,[NULL],9000
83,6,0,[NULL],9000
85,4,0,[NULL],9000
86,3,1,[NULL],9000
86,3,0,[NULL],9000
87,2,0,[NULL],9000
83,7,0,[NULL],9000
84,6,0,[NULL],9000
86,4,0,[NULL],9000
87,3,0,[NULL],9000
83,8,0,[NULL],9000
84,7,0,[NULL],9000
87,4,0,[NULL],9000
88,3,0,[NULL],9000
87,5,0,0,9998
85,8,0,[NULL],9000
86,7,0,0,2
87,6,0,0,9998
90,3,0,[NULL],9000
85,9,0,[NULL],9000
86,8,0,0,2
87,7,0,0,9998
90,4,0,[NULL],9000
86,9,0,0,2
87,8,0,[NULL],9000
89,6,0,[NULL],9000
90,5,1,[NULL],9000
90,5,0,0,9998
91,4,0,[NULL],9000
