stem,s,base,diff,level
81,0,0,[NULL],9000
82,1,0,[NULL],9000
83,0,0,[NULL],9000
83,1,0,[NULL],9000
83,2,0,[NULL],9000
84,1,0,[NULL],9000
86,1,0,[NULL],9000
87,0,0,[NULL],9000
87,1,0,[NULL],9000
87,2,1,[NULL],9000
87,2,0,[NULL],9000
88,1,1,[NULL],9000
88,1,0,[NULL],9000
87,3,0,[NULL],9000
88,2,0,[NULL],9000
89,2,0,[NULL],9000
89,2,1,[NULL],9000
90,1,0,[NULL],9000
89,3,0,[NULL],9000
90,2,0,[NULL],9000
89,4,0,[NULL],9000
90,3,0,[NULL],9000
90,5,0,[NULL],9000
91,4,0,[NULL],9000
94,1,0,[NULL],9000
95,0,0,0,9996
91,5,0,[NULL],9000
94,2,0,[NULL],9000
95,1,0,0,9996
91,6,0,[NULL],9000
94,3,0,[NULL],9000
95,2,1,[NULL],9000
95,2,0,[NULL],9000
96,1,1,[NULL],9000
96,1,0,[NULL],9955
94,4,0,0,4
95,3,0,[NULL],9000
94,5,0,0,4
95,4,1,[NULL],9000
95,4,0,[NULL],9000
96,3,0,[NULL],9000
97,2,2,[NULL],9000
97,2,1,[NULL],9000
97,2,0,[NULL],9955
98,1,1,[NULL],9000
98,1,0,[NULL],9957
95,5,0,[NULL],9000
97,3,0,0,9998
98,2,1,[NULL],9000
98,2,0,[NULL],9957
95,6,0,[NULL],9000
96,5,0,0,2
97,4,0,[NULL],9000
98,3,2,[NULL],9000
98,3,1,[NULL],9000
98,3,0,0,9998
99,2,1,[NULL],9000
99,2,0,[NULL],9959
95,7,0,[NULL],9000
96,6,0,[NULL],9000
97,5,0,"0,1",2
98,4,0,0,9998
97,6,0,0,2
99,4,0,[NULL],9000
100,3,1,[NULL],9000
100,3,0,[NULL],9994
101,2,1,[NULL],9000
101,2,0,[NULL],9000
102,1,0,[NULL],9961
97,7,0,[NULL],9000
100,4,0,[NULL],9994
101,3,0,[NULL],9000
102,2,0,[NULL],9961
97,8,0,[NULL],9000
100,5,0,[NULL],9000
101,4,1,[NULL],9000
101,4,0,[NULL],9000
102,3,2,[NULL],9000
102,3,1,[NULL],9000
102,3,0,[NULL],9000
103,2,0,[NULL],9000
102,4,0,[NULL],9000
103,3,1,[NULL],9000
103,3,0,[NULL],9000
98,9,0,[NULL],9000
99,8,0,[NULL],9000
102,5,0,[NULL],9000
103,4,1,[NULL],9000
103,4,0,[NULL],9000
104,3,0,[NULL],9000
99,9,0,[NULL],9000
103,5,0,[NULL],9000
104,4,0,[NULL],9000
104,4,1,[NULL],9000
99,10,0,[NULL],9000
102,7,0,[NULL],9967
103,6,0,0,9998
104,5,0,[NULL],9000
102,8,0,0,2
103,7,0,0,9998
102,9,0,0,2
103,8,1,[NULL],9000
103,8,0,[NULL],9969
106,5,0,[NULL],9000
103,9,0,[NULL],9969
105,7,0,0,9998
106,6,0,0,9998
103,10,0,[NULL],9969
104,9,0,0,2
105,8,0,0,2
106,7,0,0,9998
111,2,0,[NULL],9000
112,1,0,[NULL],9000
103,11,0,[NULL],9000
104,10,0,[NULL],9000
105,9,0,0,2
106,8,0,0,9998
110,4,0,[NULL],9972
111,3,0,[NULL],9972
105,10,0,0,2
108,7,0,[NULL],9000
109,6,0,0,9998
110,5,0,0,9997
111,4,0,[NULL],9973
111,4,1,0,9998
112,3,0,[NULL],9988
113,2,0,[NULL],9000
114,1,0,[NULL],9997
105,11,0,[NULL],9000
108,8,0,0,2
109,7,0,0,9998
110,6,0,1,2
111,5,0,0,9998
112,4,0,[NULL],9972
113,3,0,[NULL],9974
114,2,0,[NULL],9000
105,12,0,[NULL],9000
108,9,0,0,2
109,8,0,0,3
110,7,0,0,2
111,6,1,[NULL],9975
111,6,0,0,9998
112,5,2,[NULL],9000
112,5,0,[NULL],9000
112,5,1,[NULL],9975
113,4,1,[NULL],9000
113,4,0,[NULL],9974
114,3,1,[NULL],9000
114,3,0,[NULL],9975
115,2,0,[NULL],9000
110,8,0,0,2
111,7,1,0,9996
111,7,0,0,9998
112,6,0,1,9998
113,5,0,[NULL],9000
114,4,0,[NULL],9000
106,13,0,[NULL],9000
107,12,0,[NULL],9000
110,9,0,0,2
111,8,1,0,2
111,8,0,0,9998
112,7,0,1,9998
113,6,1,[NULL],9000
113,6,0,[NULL],9975
114,5,1,[NULL],9000
114,5,0,[NULL],9977
115,4,0,[NULL],9000
116,3,0,[NULL],9977
117,2,1,[NULL],9000
117,2,0,[NULL],9997
118,1,0,[NULL],9996
107,13,0,[NULL],9000
110,10,0,0,2
111,9,1,0,2
111,9,0,0,9997
112,8,0,1,9996
114,6,0,[NULL],9000
115,5,0,[NULL],9978
118,2,0,[NULL],9996
107,14,0,[NULL],9000
110,11,0,1,4
111,10,0,0,9997
114,7,1,[NULL],9000
114,7,0,[NULL],9000
115,6,1,[NULL],9000
115,6,0,0,9998
116,5,1,[NULL],9000
116,5,0,[NULL],9997
117,4,1,[NULL],9979
117,4,0,[NULL],9998
118,3,3,[NULL],9000
118,3,2,[NULL],9979
118,3,0,[NULL],9997
118,3,1,"1,2",9998
119,2,2,[NULL],9000
119,2,1,[NULL],9000
119,2,0,[NULL],9979
110,12,0,0,3
111,11,0,[NULL],9980
114,8,0,0,2
115,7,0,0,9998
116,6,0,[NULL],9000
117,5,"1,2",1,2
117,5,2,[NULL],9000
117,5,0,[NULL],9980
118,4,2,[NULL],9000
118,4,1,[NULL],9972
118,4,0,[NULL],9980
119,3,1,[NULL],9000
119,3,0,"1,2",9998
110,13,0,0,3
111,12,1,0,4
111,12,0,[NULL],9980
114,9,0,0,2
115,8,0,[NULL],9000
116,7,0,[NULL],9000
117,6,2,[NULL],9000
117,6,1,[NULL],9000
117,6,0,[NULL],9980
118,5,"1,2",0,2
118,5,2,[NULL],9000
118,5,0,1,9998
119,4,0,[NULL],9000
119,4,1,1,9997
120,3,3,[NULL],9000
120,3,2,[NULL],9000
120,3,1,[NULL],9979
120,3,0,[NULL],9998
121,2,1,[NULL],9000
121,2,0,2,9998
111,13,0,[NULL],9980
113,11,0,0,9998
114,10,0,0,9998
117,7,1,0,2
117,7,0,0,9996
118,6,0,[NULL],9000
118,6,1,0,9998
119,5,0,[NULL],9000
120,4,2,0,2
120,4,3,[NULL],9000
120,4,1,[NULL],9982
120,4,0,[NULL],9985
121,3,1,[NULL],9000
121,3,0,"1,2",9998
111,14,0,[NULL],9980
112,13,0,0,2
113,12,0,0,2
114,11,0,0,9998
117,8,0,1,2
118,7,1,1,3
118,7,0,0,9998
119,6,0,[NULL],9000
119,6,1,[NULL],9000
120,5,"1,2",0,2
120,5,2,[NULL],9000
120,5,0,[NULL],9000
121,4,2,[NULL],9000
121,4,1,[NULL],9000
121,4,0,[NULL],9975
122,3,0,[NULL],9000
111,15,0,[NULL],9000
112,14,0,[NULL],9000
113,13,0,0,2
114,12,0,0,9998
117,9,0,0,2
118,8,0,0,9996
113,14,0,0,2
116,11,0,0,4
117,10,0,0,9998
119,8,0,[NULL],9000
120,7,1,[NULL],9000
120,7,0,[NULL],9985
121,6,2,[NULL],9000
121,6,1,[NULL],9000
121,6,0,[NULL],9985
122,5,1,[NULL],9000
122,5,0,0,9998
123,4,0,[NULL],9000
124,3,1,[NULL],9985
124,3,0,[NULL],9985
125,2,0,[NULL],9985
126,1,0,[NULL],9995
127,0,0,[NULL],9997
113,15,0,[NULL],9000
116,12,0,0,2
117,11,0,0,9998
121,7,0,0,2
122,6,1,[NULL],9000
122,6,0,[NULL],9986
124,4,0,[NULL],9985
125,3,0,[NULL],9985
126,2,0,[NULL],9986
127,1,0,[NULL],9997
113,16,0,[NULL],9000
116,13,0,0,2
117,12,0,0,4
120,9,0,[NULL],9000
121,8,0,[NULL],9000
122,7,1,[NULL],9000
122,7,0,[NULL],9985
124,5,1,[NULL],9000
124,5,0,[NULL],9979
125,4,4,[NULL],9000
125,4,3,[NULL],9985
125,4,2,[NULL],9987
125,4,"0,1",[NULL],9987
125,4,1,0,9998
126,3,1,[NULL],9979
126,3,2,[NULL],9986
126,3,0,[NULL],9998
127,2,1,[NULL],9994
127,2,0,[NULL],9997
128,1,0,[NULL],9989
119,11,0,0,9996
120,10,0,0,9998
121,9,0,[NULL],9000
122,8,0,0,9998
124,6,0,1,2
125,5,1,[NULL],9000
125,5,2,[NULL],9987
125,5,0,[NULL],9987
126,4,1,[NULL],9986
126,4,0,0,9998
127,3,0,[NULL],9997
114,17,0,[NULL],9000
115,16,0,[NULL],9000
119,12,0,0,2
120,11,0,0,9998
121,10,0,0,2
125,6,0,0,2
125,6,1,[NULL],9000
126,5,3,[NULL],9000
126,5,4,[NULL],9000
126,5,2,[NULL],9986
126,5,0,[NULL],9987
126,5,1,[NULL],9990
127,4,3,[NULL],9000
127,4,2,[NULL],9000
127,4,1,[NULL],9000
127,4,0,[NULL],9997
128,3,1,[NULL],9955
128,3,0,[NULL],9996
128,3,2,1,9998
129,2,0,[NULL],9989
129,2,1,[NULL],9994
130,1,0,[NULL],9997
115,17,0,[NULL],9000
119,13,0,0,2
120,12,0,1,9996
125,7,0,[NULL],9990
126,6,"0,1",[NULL],9000
126,6,3,[NULL],9986
126,6,2,[NULL],9990
126,6,1,[NULL],9991
127,5,1,2,2
127,5,2,[NULL],9000
127,5,0,[NULL],9997
128,4,0,1,9998
128,4,1,2,9998
129,3,1,[NULL],9986
129,3,0,[NULL],9998
130,2,0,[NULL],9990
115,18,0,[NULL],9000
118,15,0,0,4
119,14,0,0,9998
122,11,0,[NULL],9000
123,10,0,0,9998
124,9,0,0,9997
125,8,0,[NULL],9991
126,7,2,[NULL],9986
126,7,1,[NULL],9990
126,7,0,[NULL],9992
127,6,1,0,2
127,6,2,1,2
127,6,0,[NULL],9996
128,5,2,[NULL],9000
128,5,1,[NULL],9000
128,5,0,[NULL],9987
129,4,4,[NULL],9000
129,4,3,[NULL],9955
129,4,1,[NULL],9996
129,4,"0,2","1,2",9998
129,4,2,2,9998
130,3,1,[NULL],9989
130,3,0,[NULL],9991
130,3,2,[NULL],9993
118,16,0,0,2
119,15,0,0,9998
122,12,0,0,2
123,11,0,0,9998
126,8,1,[NULL],9000
126,8,0,[NULL],9990
127,7,3,[NULL],9000
127,7,2,[NULL],9000
127,7,0,[NULL],9995
127,7,1,[NULL],9996
