id,s,t,base,diff,level
0,0,1,0,,9000
1,1,3,0,,9000
2,0,3,0,,9000
3,1,4,0,,9000
4,2,5,0,,9000
5,1,5,0,,9000
6,1,7,0,,9000
7,0,7,0,,9000
8,1,8,0,,9000
9,2,9,1,,9000
10,2,9,0,,9000
11,1,9,1,,9000
12,1,9,0,,9000
13,3,10,0,,9000
14,2,10,0,,9000
15,1,10,0,,9000
16,2,11,2,,9000
17,2,11,1,,9000
18,2,11,0,,9000
19,1,11,1,,9000
20,1,11,0,,9000
21,3,12,1,,9000
22,3,12,0,,9000
23,2,12,1,,9000
24,2,12,0,,9000
25,4,13,1,,9000
26,4,13,0,,9000
27,3,13,0,,9000
28,5,14,0,,9000
29,2,14,0,,9000
30,6,15,0,,9000
31,5,15,0,,9000
32,4,15,0,,9000
33,3,15,0,,9000
34,2,15,0,,9000
35,1,15,0,,9000
36,7,16,0,,9000
37,5,16,0,,9000
38,2,16,0,,9000
39,8,17,0,,9000
40,6,17,0,,9000
41,3,17,0,,9000
42,2,17,0,,9000
43,1,17,0,,9995
44,9,18,0,,9000
45,4,18,0,,9000
46,3,18,0,,9000
47,2,18,0,,9000
48,10,19,0,,9000
49,5,19,0,,9000
50,4,19,1,,9000
51,4,19,0,,9000
52,3,19,1,,9000
53,3,19,0,,9996
54,2,19,0,,9000
55,2,19,1,,9000
56,1,19,0,,9994
57,11,20,0,,9000
58,5,20,0,,9000
59,4,20,0,,9000
60,3,20,0,1,9998
61,2,20,0,,9000
62,12,21,0,,9000
63,6,21,0,,9000
64,5,21,1,0,2
65,5,21,0,,9000
66,4,21,0,,9000
67,3,21,2,,9000
68,3,21,0,,9996
69,3,21,1,0,9998
70,2,21,1,,9000
71,2,21,0,,9996
72,13,22,0,,9000
73,7,22,0,,9000
74,6,22,0,,9000
75,5,22,0,1,2
76,4,22,0,,9997
77,4,22,1,0,9998
78,14,23,0,,9000
79,6,23,0,1,2
80,5,23,0,,9000
81,4,23,0,,9000
82,3,23,1,,9000
83,3,23,0,,9994
84,2,23,0,,9000
85,2,23,1,,9000
86,1,23,0,,9000
87,15,24,0,,9000
88,7,24,0,,9000
89,6,24,0,,9000
90,4,24,0,,9994
91,3,24,0,,9996
92,2,24,0,,9000
93,16,25,0,,9000
94,8,25,0,,9000
95,5,25,1,,9000
96,5,25,0,,9995
97,4,25,0,,9000
98,4,25,2,,9000
99,4,25,1,,9000
100,3,25,3,,9000
101,3,25,1,,9000
102,3,25,2,,9000
103,3,25,0,0,9998
104,2,25,1,,9000
105,2,25,0,,9997
106,17,26,0,,9000
107,6,26,0,,9000
108,5,26,0,0,2
109,4,26,1,,9000
110,4,26,0,0,9998
111,3,26,1,,9000
112,3,26,2,,9997
113,3,26,0,,9997
114,2,26,0,0,9998
115,18,27,0,,9000
116,9,27,0,,9000
117,8,27,0,,9000
118,7,27,0,,9000
119,6,27,0,0,2
120,5,27,0,,9000
121,5,27,1,,9000
122,4,27,0,0,2
123,4,27,2,,9000
124,4,27,1,,9000
125,3,27,2,,9000
126,3,27,0,,9995
127,3,27,1,0,9997
128,2,27,0,,9000
