id,s,t,base,diff,level
0,0,1,0,,9000
1,1,3,0,,9000
2,0,3,0,,9000
3,1,4,0,,9000
4,2,5,0,,9000
5,1,5,0,,9000
6,1,6,0,,9000
7,2,7,0,,9000
8,1,7,0,,9000
9,3,8,0,,9000
10,4,9,0,,9000
11,2,9,1,,9000
12,2,9,0,,9000
13,1,9,1,,9000
14,1,9,0,,9000
15,5,10,0,,9000
16,3,10,0,,9000
17,2,10,1,,9000
18,2,10,0,,9000
19,6,11,0,,9000
20,3,11,0,,9000
21,2,11,1,,9000
22,2,11,0,,9000
23,1,11,0,,9000
24,7,12,0,,9000
25,3,12,0,,9000
26,2,12,1,,9000
27,2,12,0,,9000
28,8,13,0,,9000
29,4,13,0,,9000
30,3,13,1,,9000
31,3,13,0,,9000
32,2,13,0,,9000
33,9,14,0,,9000
34,4,14,0,,9000
35,3,14,0,,9000
36,2,14,0,,9000
37,10,15,0,,9000
38,5,15,0,,9000
39,4,15,0,,9000
40,3,15,0,,9000
41,11,16,0,,9000
42,5,16,0,,9000
43,4,16,0,,9000
44,3,16,0,,9000
45,12,17,0,,9000
46,6,17,0,,9000
47,5,17,0,,9000
48,3,17,0,,9000
49,2,17,0,,9000
50,1,17,0,,9000
51,13,18,0,,9000
52,4,18,0,,9000
53,14,19,0,,9000
54,5,19,0,,9000
55,4,19,0,,9000
56,3,19,0,,9000
57,2,19,0,,9000
58,2,19,1,,9000
59,1,19,0,,9000
60,15,20,0,,9000
61,2,20,0,,9000
62,16,21,0,,9000
63,6,21,0,,9000
64,5,21,1,,9000
65,5,21,0,,9000
66,4,21,0,,9000
67,3,21,1,,9000
68,3,21,0,0,9998
69,2,21,1,,9000
70,2,21,0,,9994
71,17,22,0,,9000
72,7,22,0,,9000
73,6,22,1,,9000
74,6,22,0,,9000
75,5,22,0,0,2
76,4,22,0,0,9998
77,3,22,0,,9000
78,2,22,0,0,9997
79,18,23,0,,9000
80,7,23,0,,9000
81,6,23,0,0,2
82,4,23,0,,9000
83,3,23,1,,9000
84,3,23,0,0,9997
85,2,23,0,,9000
86,19,24,0,,9000
87,7,24,0,,9000
88,6,24,0,,9000
89,5,24,0,0,3
90,4,24,0,0,9997
91,4,24,1,,9997
92,3,24,0,,9994
93,20,25,0,,9000
94,8,25,0,,9000
95,7,25,0,,9000
96,6,25,0,0,3
97,5,25,1,,9000
98,5,25,0,,9000
99,4,25,1,,9000
100,4,25,0,,9995
101,3,25,2,,9000
102,3,25,1,,9000
103,3,25,0,,9000
104,2,25,0,,9997
105,21,26,0,,9000
106,8,26,0,,9000
107,7,26,0,0,3
108,6,26,0,,9000
109,4,26,1,,9000
110,4,26,0,0,9998
111,3,26,2,,9000
112,3,26,1,,9994
113,3,26,0,,9994
114,22,27,0,,9000
115,9,27,0,,9000
116,8,27,0,,9000
117,7,27,0,,9000
118,6,27,0,0,2
119,5,27,1,,9000
120,5,27,2,,9000
121,5,27,0,0,9998
122,4,27,3,,9000
123,4,27,1,,9000
124,4,27,2,,9000
125,4,27,0,1,9998
126,3,27,1,,9000
127,3,27,0,,9995
128,23,28,0,,9000
