id,s,t,base,diff,level
0,0,1,0,,9000
1,1,3,0,,9000
2,0,3,0,,9000
3,1,4,1,,9000
4,1,4,0,,9000
5,2,5,1,,9000
6,2,5,0,,9000
7,1,5,1,,9000
8,1,5,0,,9000
9,3,6,0,,9000
10,2,6,0,,9000
11,4,7,0,,9000
12,2,7,0,,9000
13,1,7,0,,9000
14,5,8,0,,9000
15,3,8,0,,9000
16,2,8,0,,9000
17,6,9,0,,9000
18,3,9,0,,9000
19,2,9,0,,9000
20,1,9,0,,9000
21,7,10,0,,9000
22,2,10,0,,9000
23,8,11,0,,9000
24,2,11,1,,9000
25,2,11,0,,9000
26,1,11,0,,9000
27,9,12,0,,9000
28,3,12,0,,9000
29,2,12,1,,9000
30,2,12,0,,9000
31,10,13,0,,9000
32,4,13,0,,9000
33,3,13,2,,9000
34,3,13,1,,9000
35,3,13,0,,9000
36,2,13,0,,9000
37,11,14,0,,9000
38,4,14,1,,9000
39,4,14,0,,9000
40,3,14,1,,9000
41,3,14,0,,9000
42,12,15,0,,9000
43,5,15,0,,9000
44,4,15,0,,9000
45,3,15,0,,9000
46,13,16,0,,9000
47,5,16,0,,9000
48,4,16,0,,9000
49,14,17,0,,9000
50,6,17,0,,9000
51,5,17,1,,9000
52,5,17,0,,9000
53,2,17,0,,9000
54,1,17,0,,9000
55,15,18,0,,9000
56,6,18,0,,9000
57,16,19,0,,9000
58,6,19,0,,9000
59,5,19,0,,9000
60,4,19,0,,9000
61,3,19,0,,9000
62,2,19,0,,9000
63,2,19,1,,9000
64,1,19,0,0,9998
65,17,20,0,,9000
66,7,20,0,,9000
67,6,20,0,,9000
68,3,20,0,0,2
69,2,20,0,,9000
70,2,20,1,1,9997
71,18,21,0,,9000
72,7,21,0,,9000
73,5,21,0,,9000
74,4,21,0,,9000
75,3,21,1,,9000
76,3,21,0,0,9997
77,2,21,0,,9000
78,2,21,1,,9000
79,19,22,0,,9000
80,6,22,0,,9000
81,5,22,1,1,3
82,5,22,0,,9000
83,4,22,0,,9000
84,4,22,1,1,9998
85,3,22,0,,9000
86,20,23,0,,9000
87,6,23,1,1,2
88,6,23,0,0,3
89,5,23,0,,9000
90,5,23,1,,9000
91,4,23,0,,9000
92,3,23,0,,9000
93,3,23,1,,9000
94,2,23,0,,9000
95,21,24,0,,9000
96,7,24,0,,9000
97,6,24,0,,9000
98,6,24,1,,9000
99,4,24,0,,9000
100,4,24,1,0,9998
101,3,24,1,,9000
102,3,24,0,,9995
103,22,25,0,,9000
104,8,25,0,,9000
105,7,25,0,,9000
106,7,25,1,,9000
107,6,25,0,1,2
108,5,25,1,,9000
109,5,25,0,0,9998
110,4,25,1,,9000
111,4,25,2,,9000
112,4,25,0,0,9998
113,3,25,1,,9000
114,3,25,0,,9000
115,23,26,0,,9000
116,8,26,1,,9000
117,8,26,0,,9000
118,7,26,0,0,2
119,7,26,1,,9000
120,6,26,0,0,2
121,5,26,0,0,9998
122,3,26,0,,9992
123,24,27,0,,9000
124,9,27,0,,9000
125,8,27,0,,9000
126,7,27,0,0,2
127,5,27,0,,9000
128,4,27,1,,9000
