stem,s,base,diff,level
49,0,0,[NULL],9000
50,1,0,[NULL],9000
51,0,0,[NULL],9000
51,1,0,[NULL],9000
51,2,0,[NULL],9000
52,1,0,[NULL],9000
54,1,0,[NULL],9000
55,0,0,[NULL],9000
55,1,0,[NULL],9000
55,2,1,[NULL],9000
55,2,0,[NULL],9000
56,1,1,[NULL],9000
56,1,0,[NULL],9000
55,3,0,[NULL],9000
56,2,0,[NULL],9000
57,2,0,[NULL],9000
57,2,1,[NULL],9000
58,1,0,[NULL],9000
57,3,0,[NULL],9000
58,2,0,[NULL],9000
57,4,0,[NULL],9000
58,3,0,[NULL],9000
58,5,0,[NULL],9000
59,4,0,[NULL],9000
62,1,0,[NULL],9000
63,0,0,0,9995
59,5,0,[NULL],9000
62,2,0,[NULL],9000
63,1,0,[NULL],9000
59,6,0,[NULL],9000
62,3,0,[NULL],9000
63,2,1,[NULL],9000
63,2,0,[NULL],9000
64,1,1,[NULL],9000
64,1,0,[NULL],9000
62,4,0,[NULL],9000
63,3,0,[NULL],9000
62,5,0,0,5
63,4,1,[NULL],9000
63,4,0,[NULL],9000
64,3,0,[NULL],9000
65,2,2,[NULL],9000
65,2,1,[NULL],9000
65,2,0,[NULL],9000
66,1,0,[NULL],9000
66,1,1,[NULL],9000
63,5,0,[NULL],9000
65,3,0,0,9998
66,2,1,[NULL],9000
66,2,0,[NULL],9000
63,6,0,[NULL],9000
64,5,0,0,2
65,4,0,[NULL],9000
66,3,2,[NULL],9000
66,3,1,[NULL],9000
66,3,0,0,9998
67,2,1,[NULL],9000
67,2,0,[NULL],9000
63,7,0,[NULL],9000
64,6,0,[NULL],9000
65,5,0,"0,1",2
66,4,0,0,9998
65,6,0,0,2
67,4,0,[NULL],9000
68,3,1,[NULL],9000
68,3,0,[NULL],9994
69,2,1,[NULL],9000
69,2,0,[NULL],9000
70,1,0,[NULL],9000
65,7,0,[NULL],9000
68,4,0,[NULL],9994
69,3,0,[NULL],9000
70,2,0,[NULL],9000
65,8,0,[NULL],9000
68,5,0,[NULL],9000
69,4,1,[NULL],9000
69,4,0,[NULL],9000
70,3,2,[NULL],9000
70,3,1,[NULL],9000
70,3,0,[NULL],9000
71,2,0,[NULL],9000
70,4,0,[NULL],9000
71,3,1,[NULL],9000
71,3,0,[NULL],9000
66,9,0,[NULL],9000
67,8,0,[NULL],9000
70,5,0,[NULL],9000
71,4,1,[NULL],9000
71,4,0,[NULL],9000
72,3,0,[NULL],9000
67,9,0,[NULL],9000
71,5,0,[NULL],9000
72,4,0,[NULL],9000
72,4,1,[NULL],9000
67,10,0,[NULL],9000
70,7,0,[NULL],9000
71,6,0,0,9998
72,5,0,[NULL],9000
70,8,0,0,2
71,7,0,0,9998
70,9,0,0,2
71,8,1,[NULL],9000
71,8,0,[NULL],9000
74,5,0,[NULL],9000
71,9,0,[NULL],9000
73,7,0,0,9998
74,6,0,0,9998
71,10,0,[NULL],9000
72,9,0,0,2
73,8,0,0,2
74,7,0,0,9998
79,2,0,[NULL],9000
80,1,0,[NULL],9000
71,11,0,[NULL],9000
72,10,0,[NULL],9000
73,9,0,0,2
74,8,0,0,9998
78,4,0,[NULL],9000
79,3,0,[NULL],9000
73,10,0,0,2
76,7,0,[NULL],9000
77,6,0,0,9998
78,5,0,0,9997
79,4,0,[NULL],9000
79,4,1,0,9998
80,3,0,[NULL],9988
81,2,0,[NULL],9000
82,1,0,[NULL],9997
73,11,0,[NULL],9000
76,8,0,0,2
77,7,0,0,9998
78,6,0,1,2
79,5,0,0,9998
80,4,0,[NULL],9000
81,3,0,[NULL],9000
82,2,0,[NULL],9000
73,12,0,[NULL],9000
76,9,0,0,2
77,8,0,0,3
78,7,0,0,2
79,6,1,[NULL],9000
79,6,0,0,9998
80,5,2,[NULL],9000
80,5,0,[NULL],9000
80,5,1,[NULL],9000
81,4,1,[NULL],9000
81,4,0,[NULL],9000
