stem,s,base,diff,level
27,0,0,[NULL],9000
29,1,0,[NULL],9000
30,1,0,[NULL],9000
31,0,0,[NULL],9000
30,2,0,[NULL],9000
31,1,0,[NULL],9000
31,2,0,[NULL],9000
32,1,0,[NULL],9000
31,3,0,[NULL],9000
33,2,0,[NULL],9000
34,1,0,[NULL],9000
35,2,0,[NULL],9000
35,3,0,[NULL],9000
36,2,0,[NULL],9000
35,4,0,[NULL],9000
36,3,0,[NULL],9000
37,4,0,[NULL],9000
38,3,0,[NULL],9000
39,2,0,0,9998
40,1,0,[NULL],9994
37,5,0,[NULL],9000
38,4,0,0,2
39,3,0,0,9998
38,5,0,0,2
39,4,0,[NULL],9000
41,2,0,[NULL],9000
42,1,0,[NULL],9000
38,6,0,[NULL],9000
39,5,0,[NULL],9000
41,3,0,[NULL],9000
42,2,0,[NULL],9000
39,6,0,[NULL],9000
41,4,0,[NULL],9000
42,3,"0,1",[NULL],9000
42,3,1,[NULL],9000
43,2,0,[NULL],9000
39,7,0,[NULL],9000
44,2,0,[NULL],9000
44,3,0,[NULL],9000
45,2,0,[NULL],9000
43,5,0,[NULL],9000
44,4,0,[NULL],9000
45,3,0,[NULL],9000
46,2,0,[NULL],9000
43,6,0,[NULL],9000
45,4,0,[NULL],9000
46,3,1,[NULL],9000
46,3,0,[NULL],9000
47,2,0,[NULL],9000
43,7,0,[NULL],9000
44,6,0,[NULL],9000
46,4,0,[NULL],9000
47,3,0,[NULL],9000
43,8,0,[NULL],9000
44,7,0,[NULL],9000
46,5,0,[NULL],9000
47,4,1,[NULL],9000
47,4,0,0,9997
48,3,0,[NULL],9000
49,2,0,[NULL],9000
50,1,0,0,9998
47,5,0,0,9997
49,3,0,0,2
50,2,0,0,9998
45,8,0,[NULL],9000
46,7,0,0,3
47,6,0,0,9997
49,4,0,0,2
50,3,0,[NULL],9000
50,3,1,[NULL],9000
45,9,0,[NULL],9000
46,8,0,0,3
47,7,0,[NULL],9000
50,4,0,[NULL],9000
46,9,0,0,3
47,8,0,[NULL],9000
49,6,0,[NULL],9000
50,5,1,[NULL],9000
50,5,0,0,9998
51,4,0,[NULL],9000
53,2,0,[NULL],9000
