stem,s,base,diff,level
31,0,0,[NULL],9000
33,1,0,[NULL],9000
34,2,0,[NULL],9000
35,1,0,[NULL],9000
35,2,0,[NULL],9000
36,1,0,[NULL],9000
35,3,0,[NULL],9000
38,2,0,[NULL],9000
39,1,0,[NULL],9000
39,2,1,[NULL],9000
39,2,0,[NULL],9000
40,1,0,[NULL],9000
39,3,0,[NULL],9000
40,2,0,[NULL],9000
39,4,0,[NULL],9000
40,3,0,[NULL],9000
41,2,0,[NULL],9000
42,1,0,[NULL],9000
41,3,0,[NULL],9000
42,2,0,[NULL],9000
41,4,0,[NULL],9000
42,3,0,[NULL],9000
41,5,0,[NULL],9000
42,6,0,[NULL],9000
43,5,0,[NULL],9000
46,2,0,[NULL],9000
47,1,0,0,9998
43,6,0,[NULL],9000
46,3,0,0,2
47,2,1,[NULL],9000
47,2,0,0,9997
48,1,0,[NULL],9993
43,7,0,[NULL],9000
46,4,0,[NULL],9000
47,3,0,0,9997
48,2,0,[NULL],9000
46,5,0,0,3
47,4,0,[NULL],9000
48,3,0,[NULL],9000
49,2,"0,1",[NULL],9000
49,2,1,[NULL],9000
50,1,0,[NULL],9000
46,6,0,0,3
47,5,1,[NULL],9000
47,5,0,[NULL],9000
49,3,0,[NULL],9000
50,2,1,[NULL],9000
50,2,0,[NULL],9000
47,6,0,[NULL],9000
49,4,0,0,9998
50,3,1,[NULL],9000
50,3,0,[NULL],9000
51,2,0,[NULL],9000
47,7,0,[NULL],9000
48,6,0,0,2
49,5,0,[NULL],9000
50,4,1,[NULL],9000
50,4,0,0,9998
51,3,0,[NULL],9000
47,8,0,[NULL],9000
48,7,0,[NULL],9000
49,6,0,0,2
50,5,0,0,9998
51,4,0,[NULL],9000
52,3,0,[NULL],9000
53,2,0,[NULL],9000
54,1,0,[NULL],9000
49,7,0,0,2
52,4,0,[NULL],9994
53,3,1,[NULL],9000
53,3,0,[NULL],9000
54,2,0,[NULL],9000
49,8,0,[NULL],9000
52,5,0,[NULL],9994
53,4,0,[NULL],9000
54,3,1,[NULL],9000
54,3,0,[NULL],9000
55,2,0,[NULL],9000
49,9,0,[NULL],9000
52,6,0,[NULL],9000
53,5,0,[NULL],9000
54,4,1,[NULL],9000
54,4,0,[NULL],9000
55,3,0,[NULL],9000
54,5,0,[NULL],9000
55,4,1,[NULL],9000
55,4,0,[NULL],9000
56,3,0,[NULL],9000
50,10,0,[NULL],9000
